Node,Community,X,Y
Georgios Alexandros Kouskoutis,3,-2.113043486425016,-0.6714872994249539
Grigor Dilanyan,3,-1.3802657116947559,-1.2858837665318879
Grigory Seletsky,3,-0.618605114421723,-2.224583807858016
HeartAblaze,3,-2.2882910428885945,-0.32102269203226436
Henrik Cernov,3,-2.014975023006041,-0.5405842074070397
Ihor Vypkhaniuk,3,-4.00849275147644,1.554035172940947
Ilja Haitin,3,-7.738849161900145,6.059477354529966
Iniyan P,2,-0.2562419379244802,-2.549280356540617
Isaak Parpiev,4,-0.28492235563875984,-2.5178291953394476
Ivan Povshednyi,3,-7.6628300245549585,5.814390709667928
Ivashentseva Dominika,3,-8.110110515883791,6.458577272755411
Jack Mizzi,3,-3.3408287370717664,0.9927197897599237
Jakob Weihrauch,4,-0.3824196903009998,-2.426146653405367
Jan Boder,3,-6.549426769760908,4.618929715800515
Jia Haoxiang,2,-1.2129312239042171,-1.6245708886183654
Jonas Gallasch,3,-2.8051700396261237,0.3862158189562545
Jose Camacho Collados,3,-6.7188238267572755,4.779150774206769
Jose Gabriel Cardoso,3,-4.644697324201803,2.3493218182706372
Kacper Karwowski,3,-3.7481008233980146,1.4621477443761146
Kacper Tomaszewski,3,-6.38107666632546,4.5251370989423165
Karsten Schulz,3,-1.966879314244706,-0.8276941112738806
Kayden Troff,3,-5.9846039775136015,4.001104386867276
Kevin George,4,-0.6817923660674919,-2.095251663031538
Kirill Kozionov,2,-0.7379391577314199,-2.0623101306504887
Krishna Nathan,4,-0.2576548601933731,-2.5377076608190063
Leonardo Valdés,2,-0.8291601489746778,-2.022296898596714
Mark Timmermans,3,-2.177718490709178,-0.3092972183960756
Miras Assylov,1,-0.26056032876878094,-2.589465900063558
Miroslav Simonovic,3,-3.6535409441511337,1.3282833511179784
Nikhil Dixit,3,-7.911106888061425,6.244269545697608
Nikolay Milchev,3,-3.1806372711941684,0.49852253169709465
Nitish Nathan,3,-0.5734227097601754,-2.1879503539271283
Oleksandr Kuzhilniy,3,-5.0802220469081165,2.8771880214339243
Patrik Stevik,3,-5.314206883147388,3.2046844700390205
Paul Cristian Rusan,3,-0.5248192088608611,-2.2223142349427136
Peter Roberson,4,-0.35495630673094886,-2.502223656736551
Raphael Alonso,3,-2.83781701027578,0.14536083821294984
Raymond Gao,3,-4.361254011586909,2.1356148665261996
Robert Sava,3,-8.869871017880204,7.306413069141116
SHAPIRO VIKTOR,2,-0.29715071845265545,-2.4089917886347556
Stanoje Jovic,3,-1.3122544663901712,-1.4358993414014727
Tamaz Mgeladze,3,-5.9501581434133985,3.8108630886517645
Timur Kocharin,3,-2.6032285939815267,0.1663364202615688
Tymur Keleberda,4,-1.1207630964675275,-1.6125589943163063
Ulrich Zimmermann,2,-0.11472118929252609,-2.476722789421469
Vahan Nalbandyan,3,-7.991132805325184,6.291646330582514
Varun Krishnan,3,-7.628567838802357,5.966931923316852
Viacheslav Mikhailov,3,-1.9052165560894414,-0.9079188028988131
Vidar Grahn,3,-6.165247448660694,4.2318475008717185
Vladyslav Sydoryka,3,-1.9068429162093403,-0.8396437107810338
Yelfry Torres,2,-0.028144904587593486,-2.3765912979312622
Михаил Экдышман,3,-2.937846542670543,0.4923878617803548
Adam Mekhane,3,-5.928866043179708,3.9794043241935677
Adán Rios Escobar,3,-2.029792026840558,-0.6951814734562778
Alberto Fabris,3,-5.215781612452287,3.1129618810691384
Alejandro Uzcategui Rodriguez,3,-1.8301972793735866,-0.8532816911369167
Aleksey Sorokin,3,-5.405529695443258,3.2582256843224084
Alexander Donchenko,3,-4.956117350270008,2.5055456009272317
Alexander Herbrig,3,-5.416543522177395,3.327362979322251
Alexander Jasinski,3,-7.4810428845967705,5.784110193351819
Alexey Jarovinsky,3,-4.760344819245281,2.53055271674443
Andrei Belozerov,3,-4.539776802510786,2.3794008020408826
Andrey Klymchuk,3,-3.3249472572340335,0.9118829131157675
Antonio Naranjo Moreno,3,-3.8515468225940945,1.5540762642552755
Arman Mikaelyan,3,-4.918015591273472,2.7684794549278013
Artur Gabrielian,3,-4.339084228876626,2.0279380766872674
