CenterControlScore,PieceActivityScore,KingSafetyScore,CastlingScore,KingTropismScore,KingDefendersScore,KingPawnShieldScore,KingZoneControlScore,KingDiagonalExposureScore,KingEscapeSquaresScore,CaptureRatio,PawnCenter,AveragePawnAdvanceDepth,CheckRatio,ForceRatio,PawnIsolateScore,PawnOverlapScore,PawnProtectScore,queen_1LifeRatio,rook_1LifeRatio,rook_2LifeRatio,bishop_1LifeRatio,bishop_2LifeRatio,knight_1LifeRatio,knight_2LifeRatio,pawn_1LifeRatio,pawn_2LifeRatio,pawn_3LifeRatio,pawn_4LifeRatio,pawn_5LifeRatio,pawn_6LifeRatio,pawn_7LifeRatio,pawn_8LifeRatio,queen_promo_1LifeRatio,queen_promo_2LifeRatio,queen_promo_3LifeRatio,queen_promo_4LifeRatio,queen_promo_5LifeRatio,queen_promo_6LifeRatio,queen_promo_7LifeRatio,queen_promo_8LifeRatio,Name,ELO
18.47286744287363,174.4058271950183,-67.25540677658459,-15.065344015590878,-12.702657072027856,3.9882977750934567,-6.06188504973861,-38.94311677340456,-10.55932930461046,12.088627663694322,0.2161379613356766,0.4287688927943761,19.21265377855888,0.0689551845342706,0.0098892794376098,0.1010533032343314,-0.2513827828798397,1.5419808665846604,0.6951985915870658,0.850742013043614,0.780235079024721,0.5664163599090365,0.5966168952125251,0.5117565072296267,0.5669020356182782,0.8579082410823818,0.829864230993872,0.8099054832810535,0.5837674533759377,0.462916160790798,0.5540602115229452,0.7733004478103751,0.8284499416242891,0.0573442837827011,0.0466600556621988,0.0366941478578186,0.0136054421768707,,,,,Aaron Mendes,2804.0
17.410285155164168,159.5117744760423,-68.05608260835302,-15.315035537338298,-11.58464528329071,3.9933356234970803,-6.129283496426274,-40.36262159434334,-11.086941621195242,12.429109300743757,0.19929999999999998,0.35860000000000003,22.1,0.062,0.015200000000000002,-0.08901177208939888,-0.0899448830435504,1.3910985776006923,0.6433298727730958,0.8923394022672622,0.8334872682484944,0.6693686182739904,0.538989461198317,0.40168916707239904,0.5303307001529665,0.8151649169792435,0.7721764780128326,0.7841751961476386,0.4890961930255088,0.32617498675702694,0.695367509845515,0.6909429979829245,0.7585960726576921,0.00258064516129032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aaron Mendes,2804.0
17.915692339876777,168.3711977185683,-70.752150136706,-14.898701136635236,-12.79112519382576,3.997560975609756,-6.730961784535492,-40.37748711854856,-11.072870471221163,11.121434592450443,0.22990000000000005,0.3678,18.5,0.0362,0.0046,0.1819694103488098,-0.08001552527169223,1.6414051397502667,0.6146141485249603,0.8090998896860487,0.7915033332696002,0.5770017184644121,0.7600016390660687,0.37465958851126385,0.5011396928417141,0.9199729770114182,0.866137884676282,0.6502655457459628,0.4481801186490527,0.3480505964713113,0.5779950272946469,0.8458459203036053,0.8134251766462267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aaron Mendes,2804.0
19.355682045279572,182.67398553573474,-60.85805428678985,-14.9583157239504,-14.017923597618926,3.99264705882353,-2.448519694959323,-33.88238506992377,-9.893653384798895,10.35009612563792,0.21600000000000003,0.3324,15.5,0.0745,0.0,0.18803984858164421,-0.24719969859288743,1.4477337133683883,0.7686645481579788,0.8324575187427616,0.7954332897827457,0.6940306531876659,0.5886038385179868,0.5412130732807678,0.628981310389107,0.9620437956204381,0.8610410844629822,0.8126907946338603,0.495350071835378,0.49953982759696325,0.6349276535764348,0.8480195150599883,0.7668097858009716,0.01851851851851851,0.00092592592592592,0.0,0.0,0.0,0.0,0.0,0.0,Aaron Mendes,2804.0
17.870568987825017,159.34603788889424,-78.3994652279958,-14.24244644657603,-14.172179717678759,3.9901622718052736,-5.372646970285061,-49.999243090308696,-10.936567379025924,12.333456104073406,0.20509999999999998,0.49380000000000007,20.2,0.06989999999999999,0.0115,0.18636166789398376,-0.25306327438085086,1.7929945745245555,0.6450269647336644,0.8528881295323684,0.7533931270607521,0.5652382431534682,0.6073973351850313,0.5533875236817289,0.7337968899765906,0.926476388168137,0.7113639465013346,0.713624754755851,0.6737066411085499,0.6573762999107644,0.5989906166481332,0.7258934038994402,0.790614894758303,0.00048780487804877995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aaron Mendes,2804.0
21.233699904621687,200.13238388211192,-71.1958152994934,-14.793501203907093,-12.503685337617766,3.9931492109038738,-9.707564953212197,-40.337667657237475,-10.77325001189397,12.92670465347121,0.23870000000000005,0.45969999999999994,16.1,0.076,0.010499999999999999,0.05238447136239518,-0.3278181183836758,1.7871386789418906,0.7799572545595699,0.7805191289339242,0.8207505204744969,0.6578687454909998,0.49652726328907165,0.5260330332979279,0.6258648215249719,0.8391848062227568,0.8372289138941085,0.7411018915834284,0.5669989636854256,0.40886242126305844,0.6927640533125985,0.8184064393276873,0.935998855775732,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aaron Mendes,2804.0
17.741465360814498,176.3508528539216,-65.5799865721123,-15.081431505881488,-13.38637288404451,4.0,-4.032834804929207,-38.02580318042844,-10.126824275551238,11.073280078722565,0.2166,0.46820000000000006,22.2,0.11220000000000001,0.0038,0.07499113964852842,-0.1992003286791416,1.3355377131536188,0.6783204626644828,0.7649794515704474,0.8165547735074904,0.635402375589414,0.5236170747223091,0.5266050908772756,0.4731120015756417,0.947372159090909,0.8753215457569219,0.8597606042135115,0.4543522830301889,0.38677517399321754,0.3894335636942788,0.7311677575367213,0.8091721551458662,0.00625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aaron Mendes,2804.0
19.036032445453024,161.47962667359283,-67.65150803371026,-14.225346008777041,-13.732942125682374,3.9985714285714287,-7.969837241053679,-40.078380515091936,-10.68918186752784,15.045608295851173,0.2323,0.5545999999999999,21.6,0.0677,0.0036,0.20541568344888694,-0.27625809880493213,1.488618632238841,0.6349908385437435,0.835404452690167,0.763355701343946,0.433507545641487,0.5980917793062066,0.4766308141912704,0.505568777046183,0.8686885091115096,0.7117144130379425,0.8205327025915261,0.7809636274090056,0.5080449172676064,0.48593172243361077,0.8294517672237435,0.8311708865364327,0.014666666666666661,0.00066666666666666,0.0,0.0,0.0,0.0,0.0,0.0,Aaron Mendes,2804.0
18.8797587091825,190.53000203869354,-69.47553107355078,-12.213111362364671,-12.602157740566913,4.0,-8.801077116454357,-41.121248321762835,-9.488745144308973,10.750808611906978,0.2213,0.3907,15.0,0.065,0.0060999999999999995,0.06225844448349338,-0.15356764472163087,1.2750264443575536,0.7745161175796477,0.8769787976950945,0.8742741337722315,0.7214857673859233,0.6276682479479471,0.4158867810737771,0.615261471150412,0.8683861737066302,0.7508768684137253,0.794521096241904,0.6956175039015549,0.4904264018326935,0.5724168717991656,0.8916979362101314,0.9292440318302386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aaron Mendes,2804.0
19.306445159986186,184.1431064048142,-75.53713549674873,-15.945016206716478,-13.933884298088316,3.9987341772151894,-3.073143920682354,-46.94025620856206,-9.898682971280532,10.255113931365822,0.20590000000000003,0.5052,16.6,0.024700000000000003,0.0023,0.2747943612889355,-0.25405945919801426,2.09529416799611,0.8026051569619554,0.7481908812157991,0.8434182130850039,0.5654146656892375,0.6892797662917294,0.4210760579471094,0.6685224361866304,0.8759105005195847,0.7919282497003775,0.8093343861400453,0.9159626373894649,0.4878158595469051,0.3979942033734162,0.8983310136320529,0.8374848500965404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aaron Mendes,2804.0
